ID,Topic,Question,Option A,Option B,Option C,Option D,Correct Letter,Correct Index,Active,Notes
1,Number,What is a prime number?,A number with exactly two factors,A number with one factor,A number divisible by 10,A number greater than 10,A,0,Yes,Core
2,Number,Which number is prime?,4,6,7,9,C,2,Yes,Core
3,Number,Which number is NOT prime?,2,3,5,1,D,3,Yes,Core
4,Number,What is the only even prime number?,1,2,4,6,B,1,Yes,Core
5,Number,What is a factor?,A number that divides exactly,A number added,A number multiplied,A number squared,A,0,Yes,Core
6,Number,What is a multiple?,Result of division,Result of multiplication,Result of subtraction,Result of addition,B,1,Yes,Core
7,Number,What is 5²?,10,20,25,15,C,2,Yes,Core
8,Number,What is 3³?,9,27,6,12,B,1,Yes,Core
9,Number,What is a square number?,n × 2,n × n,n + n,n ÷ n,B,1,Yes,Core
10,Number,What is a cube number?,n × n,n × n × n,n² × n,n + n + n,B,1,Yes,Core
11,Number,What is any number to the power of 0?,0,1,The number itself,Undefined,B,1,Yes,Core
12,Number,What is 10¹?,0,1,10,100,C,2,Yes,Core
13,Number,What is 2³?,6,8,9,4,B,1,Yes,Core
14,Number,Which is done first in BIDMAS?,Multiplication,Division,Brackets,Addition,C,2,Yes,Core
15,Number,What does B stand for in BIDMAS?,Brackets,Base,Both,Binary,A,0,Yes,Core
16,Number,What does D stand for in BIDMAS?,Division,Decimal,Digit,Difference,A,0,Yes,Core
17,Number,What is rounding to 1 decimal place?,1 digit after decimal,2 digits after decimal,1 digit before decimal,No decimals,A,0,Yes,Core
18,Number,What is 5.678 to 1 d.p.?,5.6,5.7,5.68,6,B,1,Yes,Core
19,Number,What is 5.678 to 2 d.p.?,5.67,5.68,5.7,6,B,1,Yes,Core
20,Number,What is standard form?,a × 10ⁿ,a + 10ⁿ,a − 10ⁿ,a ÷ 10ⁿ,A,0,Yes,Core
21,Number,"In standard form, a must be between?",0 and 1,1 and 10,10 and 100,Any value,B,1,Yes,Core
22,Number,What does LCM stand for?,Lowest Common Multiple,Largest Common Multiple,Lowest Common Factor,Largest Common Factor,A,0,Yes,Core
23,Number,What does HCF stand for?,Highest Common Factor,Highest Common Multiple,Highest Counting Factor,Hardest Common Factor,A,0,Yes,Core
24,Number,What is 2 + 3?,4,5,6,7,B,1,Yes,Core
25,Number,What is 3 + 4?,6,7,8,9,B,1,Yes,Core
26,Number,What is 4 + 5?,8,9,10,11,B,1,Yes,Core
27,Number,What is 5 + 6?,10,11,12,13,B,1,Yes,Core
28,Number,What is 6 + 7?,12,13,14,15,B,1,Yes,Core
29,Number,What is 7 + 8?,14,15,16,17,B,1,Yes,Core
30,Number,What is 8 + 9?,16,17,18,19,B,1,Yes,Core
31,Number,What is 9 + 10?,18,19,20,21,B,1,Yes,Core
32,Number,What is 10 + 11?,20,21,22,23,B,1,Yes,Core
33,Number,What is 11 + 12?,22,23,24,25,B,1,Yes,Core
34,Number,What is 12 + 13?,24,25,26,27,B,1,Yes,Core
35,Number,What is 13 + 14?,26,27,28,29,B,1,Yes,Core
36,Number,What is 14 + 15?,28,29,30,31,B,1,Yes,Core
37,Number,What is 15 + 16?,30,31,32,33,B,1,Yes,Core
38,Number,What is 16 + 17?,32,33,34,35,B,1,Yes,Core
39,Number,What is 17 + 18?,34,35,36,37,B,1,Yes,Core
40,Number,What is 18 + 19?,36,37,38,39,B,1,Yes,Core
41,Number,What is 19 + 20?,38,39,40,41,B,1,Yes,Core
42,Number,What is 20 + 21?,40,41,42,43,B,1,Yes,Core
43,Number,What is 21 + 22?,42,43,44,45,B,1,Yes,Core
44,Number,What is 22 + 23?,44,45,46,47,B,1,Yes,Core
45,Number,What is 23 + 24?,46,47,48,49,B,1,Yes,Core
46,Number,What is 24 + 25?,48,49,50,51,B,1,Yes,Core
47,Number,What is 25 + 26?,50,51,52,53,B,1,Yes,Core
48,Number,What is 26 + 27?,52,53,54,55,B,1,Yes,Core
49,Number,What is 27 + 28?,54,55,56,57,B,1,Yes,Core
50,Number,What is 28 + 29?,56,57,58,59,B,1,Yes,Core
51,Number,What is 29 + 30?,58,59,60,61,B,1,Yes,Core
52,Number,What is 30 + 31?,60,61,62,63,B,1,Yes,Core
53,Number,What is 31 + 32?,62,63,64,65,B,1,Yes,Core
54,Number,What is 32 + 33?,64,65,66,67,B,1,Yes,Core
55,Number,What is 33 + 34?,66,67,68,69,B,1,Yes,Core
56,Number,What is 34 + 35?,68,69,70,71,B,1,Yes,Core
57,Number,What is 35 + 36?,70,71,72,73,B,1,Yes,Core
58,Number,What is 36 + 37?,72,73,74,75,B,1,Yes,Core
59,Number,What is 37 + 38?,74,75,76,77,B,1,Yes,Core
60,Number,What is 38 + 39?,76,77,78,79,B,1,Yes,Core
61,Algebra,What is x if x + 2 = 5?,2,3,4,5,B,1,Yes,Core
62,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,Core
63,Algebra,What is x if x + 4 = 7?,2,3,4,5,B,1,Yes,Core
64,Algebra,What is x if x + 5 = 8?,2,3,4,5,B,1,Yes,Core
65,Algebra,What is x if x + 6 = 9?,2,3,4,5,B,1,Yes,Core
66,Algebra,What is x if x + 7 = 10?,2,3,4,5,B,1,Yes,Core
67,Algebra,What is x if x + 8 = 11?,2,3,4,5,B,1,Yes,Core
68,Algebra,What is x if x + 9 = 12?,2,3,4,5,B,1,Yes,Core
69,Algebra,What is x if x + 10 = 13?,2,3,4,5,B,1,Yes,Core
70,Algebra,What is x if x + 11 = 14?,2,3,4,5,B,1,Yes,Core
71,Algebra,What is x if x + 12 = 15?,2,3,4,5,B,1,Yes,Core
72,Algebra,What is x if x + 13 = 16?,2,3,4,5,B,1,Yes,Core
73,Algebra,What is x if x + 14 = 17?,2,3,4,5,B,1,Yes,Core
74,Algebra,What is x if x + 15 = 18?,2,3,4,5,B,1,Yes,Core
75,Algebra,What is x if x + 16 = 19?,2,3,4,5,B,1,Yes,Core
76,Algebra,What is x if x + 17 = 20?,2,3,4,5,B,1,Yes,Core
77,Algebra,What is x if x + 18 = 21?,2,3,4,5,B,1,Yes,Core
78,Algebra,What is x if x + 19 = 22?,2,3,4,5,B,1,Yes,Core
79,Algebra,What is x if x + 20 = 23?,2,3,4,5,B,1,Yes,Core
80,Algebra,What is x if x + 21 = 24?,2,3,4,5,B,1,Yes,Core
81,Algebra,What is x if x + 22 = 25?,2,3,4,5,B,1,Yes,Core
82,Algebra,What is x if x + 23 = 26?,2,3,4,5,B,1,Yes,Core
83,Algebra,What is x if x + 24 = 27?,2,3,4,5,B,1,Yes,Core
84,Algebra,What is x if x + 25 = 28?,2,3,4,5,B,1,Yes,Core
85,Algebra,What is x if x + 26 = 29?,2,3,4,5,B,1,Yes,Core
86,Algebra,What is x if x + 27 = 30?,2,3,4,5,B,1,Yes,Core
87,Algebra,What is x if x + 28 = 31?,2,3,4,5,B,1,Yes,Core
88,Algebra,What is x if x + 29 = 32?,2,3,4,5,B,1,Yes,Core
89,Algebra,What is x if x + 30 = 33?,2,3,4,5,B,1,Yes,Core
90,Algebra,What is x if x + 31 = 34?,2,3,4,5,B,1,Yes,Core
91,Algebra,What is x if x + 32 = 35?,2,3,4,5,B,1,Yes,Core
92,Algebra,What is x if x + 33 = 36?,2,3,4,5,B,1,Yes,Core
93,Algebra,What is x if x + 34 = 37?,2,3,4,5,B,1,Yes,Core
94,Algebra,What is x if x + 35 = 38?,2,3,4,5,B,1,Yes,Core
95,Algebra,What is x if x + 36 = 39?,2,3,4,5,B,1,Yes,Core
96,Algebra,What is x if x + 37 = 40?,2,3,4,5,B,1,Yes,Core
97,Algebra,What is x if x + 38 = 41?,2,3,4,5,B,1,Yes,Core
98,Algebra,What is x if x + 39 = 42?,2,3,4,5,B,1,Yes,Core
99,Algebra,What is x if x + 40 = 43?,2,3,4,5,B,1,Yes,Core
100,Algebra,What is x if x + 41 = 44?,2,3,4,5,B,1,Yes,Core
101,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,Core
102,Geometry,How many degrees in a straight line?,90,180,270,360,B,1,Yes,Core
103,Geometry,How many degrees in a right angle?,45,60,90,180,C,2,Yes,Core
104,Geometry,How many degrees in a full turn?,180,270,360,90,C,2,Yes,Core
105,Geometry,What are vertically opposite angles?,Equal,Add to 180,Add to 360,Random,A,0,Yes,Core
106,Geometry,What are alternate angles?,Equal,Add to 90,Add to 180,Add to 360,A,0,Yes,Core
107,Geometry,What are corresponding angles?,Equal,Add to 180,Add to 360,Different,A,0,Yes,Core
108,Geometry,What is the sum of interior angles formula?,n×180,(n−2)×180,(n+2)×180,n²×180,B,1,Yes,Core
141,Measure,How many mm in 1 cm?,100,10,1000,1,B,1,Yes,Core
142,Measure,How many cm in 1 m?,10,100,1000,1,B,1,Yes,Core
143,Measure,How many m in 1 km?,10,100,1000,10000,C,2,Yes,Core
144,Measure,How many g in 1 kg?,100,1000,10,10000,B,1,Yes,Core
145,Measure,How many ml in 1 litre?,100,1000,10,10000,B,1,Yes,Core
146,Measure,What units is area measured in?,Units,Units²,Units³,Metres,B,1,Yes,Core
147,Measure,What units is volume measured in?,Units,Units²,Units³,Metres,C,2,Yes,Core
148,Measure,What is 1 km in metres?,100,1000,10,10000,B,1,Yes,Core
149,Measure,What is 2 km in metres?,200,2000,20,20000,B,1,Yes,Core
150,Measure,What is 3 km in metres?,300,3000,30,30000,B,1,Yes,Core
151,Measure,What is 4 km in metres?,400,4000,40,40000,B,1,Yes,Core
152,Measure,What is 5 km in metres?,500,5000,50,50000,B,1,Yes,Core
153,Measure,What is 6 km in metres?,600,6000,60,60000,B,1,Yes,Core
154,Measure,What is 7 km in metres?,700,7000,70,70000,B,1,Yes,Core
155,Measure,What is 8 km in metres?,800,8000,80,80000,B,1,Yes,Core
156,Measure,What is 9 km in metres?,900,9000,90,90000,B,1,Yes,Core
157,Measure,What is 10 km in metres?,1000,10000,100,100000,B,1,Yes,Core
158,Measure,What is 11 km in metres?,1100,11000,110,110000,B,1,Yes,Core
159,Measure,What is 12 km in metres?,1200,12000,120,120000,B,1,Yes,Core
160,Measure,What is 13 km in metres?,1300,13000,130,130000,B,1,Yes,Core
161,Measure,What is 14 km in metres?,1400,14000,140,140000,B,1,Yes,Core
162,Measure,What is 15 km in metres?,1500,15000,150,150000,B,1,Yes,Core
163,Measure,What is 16 km in metres?,1600,16000,160,160000,B,1,Yes,Core
164,Measure,What is 17 km in metres?,1700,17000,170,170000,B,1,Yes,Core
165,Measure,What is 18 km in metres?,1800,18000,180,180000,B,1,Yes,Core
166,Measure,What is 19 km in metres?,1900,19000,190,190000,B,1,Yes,Core
167,Measure,What is 20 km in metres?,2000,20000,200,200000,B,1,Yes,Core
168,Measure,What is 21 km in metres?,2100,21000,210,210000,B,1,Yes,Core
169,Measure,What is 22 km in metres?,2200,22000,220,220000,B,1,Yes,Core
170,Measure,What is 23 km in metres?,2300,23000,230,230000,B,1,Yes,Core
171,Probability,What is probability written as?,Fraction decimal or percentage,Whole number,Decimal only,Fraction only,A,0,Yes,Core
172,Probability,What is the probability scale?,0 to 1,0 to 10,1 to 100,0 to 100,A,0,Yes,Core
174,Probability,What does mutually exclusive mean?,Cannot happen together,Always happen,Equal,Random,A,0,Yes,Core
177,Probability,What is probability of event with 1 successes out of 10?,0.05,0.1,0.2,0.5,B,1,Yes,Core
178,Probability,What is probability of event with 2 successes out of 10?,0.1,0.2,0.4,1,B,1,Yes,Core
179,Probability,What is probability of event with 3 successes out of 10?,0.15,0.3,0.6,1.5,B,1,Yes,Core
180,Probability,What is probability of event with 4 successes out of 10?,0.2,0.4,0.8,2,B,1,Yes,Core
181,Probability,What is probability of event with 5 successes out of 10?,0.25,0.5,1,2.5,B,1,Yes,Core
182,Probability,What is probability of event with 6 successes out of 10?,0.3,0.6,1.2,3,B,1,Yes,Core
183,Probability,What is probability of event with 7 successes out of 10?,0.35,0.7,1.4,3.5,B,1,Yes,Core
184,Probability,What is probability of event with 8 successes out of 10?,0.4,0.8,1.6,4,B,1,Yes,Core
185,Probability,What is probability of event with 9 successes out of 10?,0.45,0.9,1.8,4.5,B,1,Yes,Core
186,Probability,What is probability of event with 10 successes out of 10?,0.5,1,2,5,B,1,Yes,Core
187,Probability,What is probability of event with 11 successes out of 10?,0.55,1.1,2.2,5.5,B,1,Yes,Core
188,Probability,What is probability of event with 12 successes out of 10?,0.6,1.2,2.4,6,B,1,Yes,Core
189,Probability,What is probability of event with 13 successes out of 10?,0.65,1.3,2.6,6.5,B,1,Yes,Core
190,Probability,What is probability of event with 14 successes out of 10?,0.7,1.4,2.8,7,B,1,Yes,Core
191,Probability,What is probability of event with 15 successes out of 10?,0.75,1.5,3,7.5,B,1,Yes,Core
192,Probability,What is probability of event with 16 successes out of 10?,0.8,1.6,3.2,8,B,1,Yes,Core
193,Probability,What is probability of event with 17 successes out of 10?,0.85,1.7,3.4,8.5,B,1,Yes,Core
194,Probability,What is probability of event with 18 successes out of 10?,0.9,1.8,3.6,9,B,1,Yes,Core
195,Probability,What is probability of event with 19 successes out of 10?,0.95,1.9,3.8,9.5,B,1,Yes,Core
196,Probability,What is probability of event with 20 successes out of 10?,1,2,4,10,B,1,Yes,Core
197,Probability,What is probability of event with 21 successes out of 10?,1.05,2.1,4.2,10.5,B,1,Yes,Core
198,Probability,What is probability of event with 22 successes out of 10?,1.1,2.2,4.4,11,B,1,Yes,Core
199,Probability,What is probability of event with 23 successes out of 10?,1.15,2.3,4.6,11.5,B,1,Yes,Core
200,Probability,What is probability of event with 24 successes out of 10?,1.2,2.4,4.8,12,B,1,Yes,Core
201,Number,What is an integer?,A number with decimals,A whole number including negatives and zero,A fraction only,A number above 100,B,1,Yes,Core
202,Number,Which of these is an integer?,2.5,46115,-6,0.2,C,1,Yes,Core
203,Number,Which is a square number?,10,18,20,16,D,1,Yes,Core
204,Number,Is 9 a square number?,No,Only sometimes,Yes,Not sure,C,1,Yes,Core
205,Number,What is the square root of 100?,20,10,5,50,B,1,Yes,Core
206,Number,Which is a multiple of 12?,14,36,25,18,B,1,Yes,Core
207,Number,Which is a factor of 12?,7,8,6,10,C,1,Yes,Core
208,Number,What is a multiple of 20?,30,25,45,40,D,1,Yes,Core
209,Number,Which is a factor of 10?,3,2,7,9,B,1,Yes,Core
210,Number,What does B stand for in BIDMAS?,Brackets,Bases,Both,Before,A,1,Yes,Core
211,Number,What does I stand for in BIDMAS?,Inside,Integers,Indices,Inverse,C,1,Yes,Core
212,Number,What does D stand for?,Digits,Division,Double,Decrease,B,1,Yes,Core
213,Number,What does M stand for?,Minus,Multiply,More,Mean,B,1,Yes,Core
214,Number,What does A stand for?,Average,All,Add,Amount,C,1,Yes,Core
215,Number,What does S stand for?,Sum,Square,Subtract,Section,C,1,Yes,Core
216,Number,What is 45 ÷ 10?,45,0.45,4.5,450,C,1,Yes,Core
217,Number,What is 6 × 100?,60,600,6000,6,B,1,Yes,Core
218,Number,What is 3.2 × 10?,3.2,32,0.32,320,B,1,Yes,Core
219,Number,What is 500 ÷ 100?,50,5,0.5,5000,B,1,Yes,Core
220,Number,What is 7 × 1000?,700,70000,70,7000,D,1,Yes,Core
221,Number,What is 12 × 1.5?,16,18,20,14,B,1,Yes,Core
222,Number,What is 10 × 0.5?,0.5,50,5,10,C,1,Yes,Core
223,Number,What is 8 × 1.2?,8.2,6.8,10.2,9.6,D,1,Yes,Core
224,Number,What is (+) + (+)?,−,+,0,Undefined,B,1,Yes,Core
225,Number,What is (+) − (−)?,−,0,Undefined,+,D,1,Yes,Core
226,Number,What is (−) + (−)?,+,0,−,Undefined,C,1,Yes,Core
227,Number,What is (−) × (−)?,−,+,0,Undefined,B,1,Yes,Core
228,Number,What is −2 + 4?,-6,6,2,-2,C,1,Yes,Core
229,Number,What is −4 − 3?,-1,-7,7,1,B,1,Yes,Core
230,Number,What is −2 − (−2)?,-4,2,4,0,D,1,Yes,Core
231,Number,What is the only even prime number?,1,3,4,2,D,1,Yes,Core
232,Number,Is 27 a prime number?,Yes,No,Sometimes,Only if odd,B,1,Yes,Core
233,Number,What are the prime factors of 9?,1 and 9,2 and 4,3 and 3,3 and 6,C,1,Yes,Core
234,Number,How is 9 written in index form?,9²,2²,3²,1²,C,1,Yes,Core
235,Number,What does LCM stand for?,Least Count Method,Lowest Common Multiple,Large Common Multiple,Low Count Multiple,B,1,Yes,Core
236,Number,What does HCF stand for?,Highest Count Fraction,High Common Fraction,Highest Common Factor,High Count Factor,C,1,Yes,Core
237,Fractions,Simplify 2/4,46055,46113,46054,46236,C,1,Yes,Core
238,Fractions,What is 4 2/3 as an improper fraction?,46091,46093,46095,46089,C,1,Yes,Core
239,Fractions,What is the reciprocal of 3?,46025,3,46082,0.3,C,1,Yes,Core
240,Fractions,"When multiplying fractions, what do you do?",Add tops,Divide tops,Multiply tops and bottoms,Subtract tops,C,1,Yes,Core
241,Fractions,"When adding fractions, what must you find?",Factor,Square number,Multiple,Common denominator,D,1,Yes,Core
242,Fractions,What is 1/2 as a decimal?,0.25,0.2,0.5,1,C,1,Yes,Core
243,Fractions,What is 1/4 as a percentage?,0.5,0.25,0.1,0.75,B,1,Yes,Core
244,Fractions,What is 3/4 as a decimal?,0.5,0.75,1.25,0.25,B,1,Yes,Core
245,Fractions,What is 1/5 as a decimal?,0.25,0.5,0.2,0.1,C,1,Yes,Core
246,Fractions,What is 0.32 as a percentage?,3.2,0.032,0.32,0.0032,C,1,Yes,Core
247,Fractions,What is 0.05 as a percentage?,0.05,0.5,0.005,0.0005,A,1,Yes,Core
248,Fractions,What is 0.01 as a percentage?,0.1,0.01,0.001,0.0001,B,1,Yes,Core
249,Rounding,Round 3.46 to 1 decimal place,3.4,3.46,3,3.5,D,1,Yes,Core
250,Rounding,Round 7.82 to 1 decimal place,7.8,7,8,7.9,A,1,Yes,Core
251,Rounding,Round 5.678 to 2 decimal places,5.6,5.67,5.68,5.78,C,1,Yes,Core
252,Rounding,Round 0.0456 to 2 significant figures,0.045,0.05,0.046,0.04,C,1,Yes,Core
253,Rounding,Round 1234 to 2 significant figures,1230,1200,1240,1000,B,1,Yes,Core
254,Number,Estimate 42.6 × 12.1,500,400,600,300,B,1,Yes,Core
255,Number,Estimate 19 × 5,90,95,100,80,C,1,Yes,Core
256,Algebra,What is 10¹?,1,10,100,0,B,1,Yes,Core
257,Algebra,What is 10³?,10,1000,1,100,B,1,Yes,Core
258,Algebra,What is anything to the power of 0?,0,Itself,1,Undefined,C,1,Yes,Core
259,Algebra,What is 7⁻²?,49,41640,14,54424,D,1,Yes,Core
260,Algebra,What does a negative power mean?,Add,Multiply,Reciprocal,Divide,C,1,Yes,Core
261,Number,What is √64?,7,6,9,8,D,1,Yes,Core
262,Number,What is √49?,8,6,9,7,D,1,Yes,Core
263,Algebra,What is 3.56 × 10⁴?,3560,356000,356,35600,D,1,Yes,Core
264,Algebra,What is 0.0000623 in standard form?,6.23 × 10⁻⁴,6.23 × 10⁻⁵,6.23 × 10⁵,6.23 × 10⁴,B,1,Yes,Core
265,Algebra,Which is valid standard form?,12 × 10²,120 × 10²,1.2 × 10²,0.12 × 10²,C,1,Yes,Core
266,Algebra,Simplify Q + Q + Q + Q + Q,4Q,10Q,5Q,Q5,C,1,Yes,Core
267,Algebra,Simplify 2x + 5x + 6 − 4,3x + 2,7x + 2,7x + 10,10x + 2,B,1,Yes,Core
268,Algebra,What is 2p × 3q?,6p + q,5pq,6pq,5p + q,C,1,Yes,Core
269,Algebra,What is 2p × 3q × 5?,15pq,10pq,6pq,30pq,D,1,Yes,Core
270,Algebra,Expand 4(2y + 1),8y + 1,4y + 2,8y + 4,6y + 1,C,1,Yes,Core
271,Algebra,What does > mean?,Less than,Equal to,Greater than,Not equal to,C,1,Yes,Core
272,Algebra,What does < mean?,Greater than,Equal to,Less than,Not equal to,C,1,Yes,Core